symbol,timestamp,open,high,low,close,volume,last_updated
BNBUSDT,2026-06-29T16:59:59.999000+00:00,551.97000000,559.04000000,550.34000000,556.15000000,14936.30700000,2026-08-04T23:16:05.033054+00:00
BNBUSDT,2026-06-29T17:59:59.999000+00:00,556.15000000,562.96000000,556.05000000,561.12000000,7657.34800000,2026-08-04T23:16:05.033093+00:00
BNBUSDT,2026-06-29T18:59:59.999000+00:00,561.13000000,562.40000000,560.34000000,561.14000000,2710.69200000,2026-08-04T23:16:05.033132+00:00
BNBUSDT,2026-06-29T19:59:59.999000+00:00,561.14000000,563.16000000,559.94000000,561.78000000,3657.28700000,2026-08-04T23:16:05.033171+00:00
BNBUSDT,2026-06-29T20:59:59.999000+00:00,561.78000000,562.21000000,559.98000000,560.08000000,1845.76500000,2026-08-04T23:16:05.033210+00:00
BNBUSDT,2026-06-29T21:59:59.999000+00:00,560.08000000,561.84000000,559.42000000,561.20000000,2031.71000000,2026-08-04T23:16:05.033248+00:00
BNBUSDT,2026-06-29T22:59:59.999000+00:00,561.20000000,561.88000000,560.01000000,560.12000000,1398.13000000,2026-08-04T23:16:05.033287+00:00
BNBUSDT,2026-06-29T23:59:59.999000+00:00,560.12000000,560.55000000,559.28000000,559.52000000,1057.75300000,2026-08-04T23:16:05.033325+00:00
BNBUSDT,2026-06-30T00:59:59.999000+00:00,559.51000000,560.40000000,555.27000000,555.71000000,2840.08300000,2026-08-04T23:16:05.033363+00:00
BNBUSDT,2026-06-30T01:59:59.999000+00:00,555.72000000,557.16000000,555.00000000,555.80000000,2265.45000000,2026-08-04T23:16:05.033401+00:00
BNBUSDT,2026-06-30T02:59:59.999000+00:00,555.80000000,557.38000000,554.53000000,556.59000000,2167.56800000,2026-08-04T23:16:05.033439+00:00
BNBUSDT,2026-06-30T03:59:59.999000+00:00,556.59000000,556.91000000,553.76000000,553.77000000,6410.79200000,2026-08-04T23:16:05.033478+00:00
BNBUSDT,2026-06-30T04:59:59.999000+00:00,553.76000000,554.73000000,551.62000000,553.17000000,3679.17300000,2026-08-04T23:16:05.033516+00:00
BNBUSDT,2026-06-30T05:59:59.999000+00:00,553.17000000,554.14000000,552.00000000,554.12000000,4697.82300000,2026-08-04T23:16:05.033555+00:00
BNBUSDT,2026-06-30T06:59:59.999000+00:00,554.13000000,554.19000000,552.48000000,553.30000000,2113.61200000,2026-08-04T23:16:05.033593+00:00
BNBUSDT,2026-06-30T07:59:59.999000+00:00,553.31000000,553.59000000,551.83000000,552.42000000,2549.11600000,2026-08-04T23:16:05.033632+00:00
BNBUSDT,2026-06-30T08:59:59.999000+00:00,552.42000000,553.06000000,549.53000000,550.16000000,5435.18300000,2026-08-04T23:16:05.033670+00:00
BNBUSDT,2026-06-30T09:59:59.999000+00:00,550.16000000,551.37000000,549.14000000,549.83000000,9552.21800000,2026-08-04T23:16:05.033708+00:00
BNBUSDT,2026-06-30T10:59:59.999000+00:00,549.83000000,550.60000000,549.16000000,549.45000000,4257.42400000,2026-08-04T23:16:05.033773+00:00
BNBUSDT,2026-06-30T11:59:59.999000+00:00,549.44000000,549.60000000,547.00000000,547.70000000,4055.73200000,2026-08-04T23:16:05.033809+00:00
BNBUSDT,2026-06-30T12:59:59.999000+00:00,547.71000000,547.77000000,543.79000000,543.80000000,10641.24900000,2026-08-04T23:16:05.033845+00:00
BNBUSDT,2026-06-30T13:59:59.999000+00:00,543.80000000,548.80000000,543.68000000,548.56000000,7193.05200000,2026-08-04T23:16:05.033881+00:00
BNBUSDT,2026-06-30T14:59:59.999000+00:00,548.56000000,551.56000000,544.94000000,545.57000000,8452.86700000,2026-08-04T23:16:05.033917+00:00
BNBUSDT,2026-06-30T15:59:59.999000+00:00,545.57000000,547.49000000,543.68000000,544.96000000,5562.83100000,2026-08-04T23:16:05.033981+00:00
BNBUSDT,2026-06-30T16:59:59.999000+00:00,544.96000000,547.94000000,544.86000000,546.76000000,4532.84400000,2026-08-04T23:16:05.034069+00:00
BNBUSDT,2026-06-30T17:59:59.999000+00:00,546.76000000,548.66000000,545.87000000,546.82000000,3421.89100000,2026-08-04T23:16:05.034132+00:00
BNBUSDT,2026-06-30T18:59:59.999000+00:00,546.83000000,548.55000000,545.52000000,546.94000000,2938.03300000,2026-08-04T23:16:05.034185+00:00
BNBUSDT,2026-06-30T19:59:59.999000+00:00,546.94000000,547.92000000,545.88000000,547.40000000,1845.96000000,2026-08-04T23:16:05.034233+00:00
